"Site_SPC_year","site","SPC_Rep","year","Observer","Lat","Lon","site_year","geographic","Acanthurus.blochii","Acanthurus.guttatus","Acanthurus.lineatus","Acanthurus.maculiceps","Acanthurus.nigricauda","Acanthurus.xanthopterus","Aphareus.furca","Caesio.caerulaurea","Calotomus.carolinus","Carangoides.ferdau","Carangoides.orthogrammus","Caranx.lugubris","Caranx.melampygus","Cephalopholis.argus","Cephalopholis.urodeta","Cheilinus.trilobatus","Cheilinus.undulatus","Chlorurus.bleekeri","Chlorurus.frontalis","Chlorurus.microrhinos","Chlorurus.sordidus","Ctenochaetus.striatus","Elagatis.bipinnulata","Epinephelus.hexagonatus","Epinephelus.howlandi","Epinephelus.spilotoceps","Hipposcarus.longiceps","Kyphosus.cinerascens","Kyphosus.vaigiensis","Lethrinus.harak","Lethrinus.olivaceus","Lethrinus.xanthochilus","Lutjanus.argentimaculatus","Lutjanus.bohar","Lutjanus.fulvus","Lutjanus.gibbus","Lutjanus.monostigma","Lutjanus.semicinctus","Macolor.macularis","Macolor.niger","Monotaxis.grandoculis","Mulloidichthys.vanicolensis","Myripristis.adusta","Myripristis.sp","Naso.lituratus","Naso.unicornis","Naso.vlamingii","Parupeneus.barberinus","Parupeneus.trifasciatus","Pempheris.oualensis","Sargocentron.tiere","Scarus.dimidiatus","Scarus.forsteni","Scarus.frenatus","Scarus.ghobban","Scarus.oviceps","Scarus.psittacus","Scarus.rivulatus","Scarus.rubroviolaceus","Selar.crumenophthalmus","Siganus.argenteus","Siganus.doliatus","Siganus.punctatus"
"KOS-03 11 2015","KOS-03",11,2015,"MM",5.28946582969,162.902358801,"KOS-03 2015","Walung Point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581811334203619,0,0,0,0,0,0.0587112354405767,0,0,0,0,0,0,0,0.388461141368592,0,0,0,1.6928095889793,0,0,0,0.410870275998934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOS-03 11 2017","KOS-03",11,2017,"SM",5.28946582969,162.902358801,"KOS-03 2017","Walung Point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75502060779659,0.990911745255124,0,0,0,0,0,2.1504786559514,0,0,0,0,0,0,0.180193262869416,0,0.8868928603424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56207232725698,0,0,0.799146003215994,0,0,0,0,0,0,0
"KOS-03 11 2019","KOS-03",11,2019,"PH",5.28946582969,162.902358801,"KOS-03 2019","Walung Point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649288179491853,0.238915382299613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16194277,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOS-03 12 2012","KOS-03",12,2012,"BMT",5.28946582969,162.902358801,"KOS-03 2012","Walung Point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113262112324122,0.032473862800268,0,0,0,0,0.253598526141082,0.479932844781818,0,0,0,0.0829290687967766,0,0,0,0,0,0,0,0.0399495316974113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOS-03 12 2015","KOS-03",12,2015,"MM",5.28946582969,162.902358801,"KOS-03 2015","Walung Point",0,0,0,0,0,0,0,0,0,0,0,0,0,0.29447330719916,0,0,0,0,0,0,0.665307391034112,0.574678873395185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256790159275084,0,0.537109709784104,0,0,0,0,0,0,0,0,0.271907129645825,0,0,0,0,0,0,0
"KOS-03 12 2017","KOS-03",12,2017,"SM",5.28946582969,162.902358801,"KOS-03 2017","Walung Point",0,0,0,0,0,0,0,0,0,0,0,0,0,0.199375578422629,0,0,0,0,0,0,1.91129085966296,0.90709946443572,0,0,0,0,0,0,0,0,0,1.93084050160145,0,0,0,0,0,0,0,0,0,0,0,0,0.512375381104074,0,0,0,0,0,0,0,0,0,0,0.946850810381498,0,0,0,0,0,0,0
"KOS-03 12 2019","KOS-03",12,2019,"PH",5.28946582969,162.902358801,"KOS-03 2019","Walung Point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72956563696104,0,0,0,0.97607326330299,0.2248469810322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395765152116036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOS-03 2 2012","KOS-03",2,2012,"BMT",5.28946582969,162.902358801,"KOS-03 2012","Walung Point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293905578070969,0.135844068135069,6.54479829939039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247523066432598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOS-03 2 2015","KOS-03",2,2015,"MM",5.28946582969,162.902358801,"KOS-03 2015","Walung Point",0,0,0,0,0,0,0,0,0,0,0,0,0,0.628649474341505,0.0697858094935017,0,0,0,0,0,0.462871648453313,0.327194375443886,0,0,0,0,0,0.22393673231579,0,0,0,0,0,0,0,0,0.672785526688102,0,0,0,0,0,0,0,0,0,0.429222547252368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOS-03 2 2017","KOS-03",2,2017,"SM",5.28946582969,162.902358801,"KOS-03 2017","Walung Point",0,0,0,0,0,0,0,0,0,0,0,0,0,0.37275666000838,0,0,0,0,0,3.50945514660021,0.415554597028988,0.68225248340352,0,0,0,0,0,0,0,0,0,0,0,4.29856653129723,0,0,0.157610935708282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14924123089655,0,0,0,0,0,0,0
